smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
C=CC1=C(/C=C/C)[CH]C=C1CO,0.19594236,56.593513,0.9263403415679932,-0.2311170697212219,96.796395,0.2870968853340337,53.28114306163896,88.92629879493728,0.93210564320822,-0.14566099622751594
C/C=C\C1=C(/C(C)=C\C)C=C[CH]1,0.23538198,60.338333,0.9260436296463012,-0.222404807806015,98.569234,0.31275091539013794,59.41064254931039,93.7730967798035,,
CC1=C[CH]C(/C(C)=C\CS)=C1C,0.3067017,61.324066,0.9319119453430176,-0.3391773104667663,95.988981,0.4056061608934556,48.79204383022958,78.5117357855568,1.0957515877015256,-0.3108035364909769
C=CC1=C(C)[CH]C=C1/C(C)=C\C,0.27293327,60.4292,0.9600811004638672,-0.3063238561153412,96.78253649999999,0.35317156187999577,61.58021927067124,93.92164117667146,0.9988538144482373,-0.1786677356130033
C=C/C=C1/C=CC2=C1C(C)=C[CH]2,0.19053382,57.81806,1.0925246477127075,-0.2224685549736023,98.291369,0.2460216469034049,48.39510608313977,86.09402373796954,0.6991809200813606,-0.30870830241523484
CC1=C[CH]C2=C1/C(=C\CO)C=C2,0.25337645,57.8608,1.0179426670074463,-0.2313351333141327,95.19197750000001,0.2607920933663153,48.43429308217785,85.3946884138621,,-0.33945654273409387
C/C=C\C1=C(C)[CH]C=C1CNC,0.23099232,60.213333,0.964186429977417,-0.2816623151302337,98.66371699999999,0.4093195757450462,48.99435910932133,78.52838032206903,1.1078604080045649,-0.3162457029177794
C=C1CCCC([CH]C#N)=C1CS,0.28755152,63.624054,1.0027347803115845,-0.3530136346817016,99.246478,0.2753536032979919,63.43127036873813,99.66359020383854,1.1023638199136183,-0.33366063549035374
C/C=C\C1=C(CS)[CH]C=C1CC,0.26292235,58.935005,0.9954754114151,-0.285568356513977,95.7888875,0.2767076541580881,54.89587612357008,91.06049341566568,,
[O]c1cc2c(s1)[C@@H](O)CCC2,0.26884326,59.50417,1.0344932079315186,-0.1162875220179557,96.06200700000001,0.2441104556941942,48.37386571642024,86.16834293171053,1.1718874960311805,-0.0653618305784498
C=CCC1=C[CH]C(C=C)=C1C=C,0.18337236,57.58969,1.0919336080551147,-0.2156370282173156,98.421072,0.2933143884912991,51.08714722542484,86.42142780085989,,
C/C=C\C1=C(CON)[CH]C=C1C,0.23065083,60.400543,1.0214173793792725,-0.2331839799880981,98.86800149999999,0.3557604960822253,41.89186460621547,74.1038398021042,1.1072617696989777,-0.20644999523135876
C=CCC1=C[CH]C(C)=C1/C=C\C,0.24674013,60.766792,0.9246277809143066,-0.3407541811466217,98.42978550000001,0.4275723439918984,48.48125326370757,77.10263606411266,1.023180298382603,-0.34783747903396867
C/C=C\C1=C(C)[CH]C=C1C(C)C,0.30152848,61.68641,0.9181537628173828,-0.3846341073513031,96.60998599999999,0.4207568802927179,59.4964478568783,88.4586038422424,1.0002687777206285,-0.34187830679470155
C/C=C\C1=C(CN)[CH]C=C1CC,0.23983838,57.708992,0.9412192702293396,-0.3485194444656372,95.717073,0.3532659744780354,57.93377588576632,90.27047716186456,,
C=CC1=CC=C(C)/C1=C\[CH]C,0.2084091,57.133324,0.9184890985488892,-0.2772585749626159,96.712869,0.30659307811847164,28.547308352677582,63.217654446754004,1.0964318585064223,0.026637992887932782
C/C=C(/C)C1=C(/C=C/C)[CH]C=C1,0.21365967,59.830467,0.8853214979171753,-0.2500703930854797,99.14748349999999,0.29411025325334655,56.92267202503171,92.21715936236438,0.9331396548285085,-0.21923908633620126
C=C(CC)C1=C(/C=C/C)[CH]C=C1,0.260845,59.25138,0.9928951263427734,-0.2259117364883422,96.20912999999999,0.2959351056798047,55.90818167323576,91.11142638924552,0.960214432808348,-0.19809626976355688
C=CCC[C]1C(C)=CC=C1C,0.21345134,61.17113,1.0994040966033936,-0.3606270849704742,100.49856299999999,0.36060970750628174,58.66224978364654,90.63176440833246,,-0.30805524244395643
C=C(C)C1=C(C=C(C)C)[CH]C=C1,0.24311948,57.434402,0.9066380262374878,-0.2711291015148163,95.27842799999999,0.2812252273070097,56.53724123093762,92.47597986558714,0.7908814243964963,-0.1728446175356444
CC(C)SC1=C(CN)C=C[CH]1,0.19879378,56.68942,0.9872483015060424,-0.2291627824306488,96.749731,0.23878092208072957,33.82741012133289,71.88836401729641,,-0.018613620964047506
C=C(CO)C1=C(/C=C\C)[CH]C=C1,0.23453622,58.188126,1.0389032363891602,-0.1316677331924438,96.461315,0.2850210861710067,56.19864804367366,91.94759373512332,1.1600779948840287,-0.14993309687366896
C/C=C\c1c(C2CC2)csc1[O],0.29811317,60.55267,1.009776592254639,-0.1414180994033813,95.6470115,0.3424816663585383,47.17788369822976,80.05380038030285,1.226390792810891,-0.04846390382143273
C=C[CH]/C(SC)=C1/C=CC=C1C,0.19585845,59.368683,1.0097694396972656,-0.2061646878719329,99.5757605,0.28143290209821664,59.624831861512384,95.55318675660155,,
CNC1(c2sc([O])cc2C)CC1,0.31218907,64.69706,0.9408584237098694,-0.1624769270420074,99.08760649999999,0.40753304845440685,65.24527321930718,94.86862079658684,0.9067451476520185,-0.07586521178613914
CC[C@H](C)c1oc([O])cc1SC,0.2850287,62.08312,0.8836750388145447,-0.2412008643150329,97.831685,0.4408330070397501,61.01856938262424,88.97691903063674,0.8596976188817296,-0.28182400025989995
C=CC1=C(C(C)(C)C)C=C(C)[CH]1,0.2869226,64.02571,1.0923500061035156,-0.3108467757701874,99.67958,0.3046722763241994,57.08953431295758,91.85592049674761,0.9817109901994776,-0.4447624631193303
C=C(C)C1=C(/C=C\CN)[CH]C=C1,0.21821757,57.15193,1.0390807390213013,-0.2138636410236358,96.2410515,0.30773482639572114,56.56417336622365,91.17743204643759,,-0.03542991522484762
C=C(C)C1=C(/C=C\CC)[CH]C=C1,0.23997648,57.309483,1.0119754076004028,-0.2161334156990051,95.310659,0.30740303240959993,56.610638933391286,91.24048731291128,1.020023841854501,-0.059130550020008776
C=C(C)C1=C[CH]C=C1/C=C/C,0.18923987,57.053043,0.9499139189720154,-0.287069171667099,97.5910495,0.32252728297727346,57.79507998693864,91.66871583807497,0.9325954381855182,-0.18323915541504388
C=CC1=C(C)C(C(=C)CC)=C[CH]1,0.27501538,59.21759,1.0761433839797974,-0.2231522500514984,95.46682100000001,0.22622381880175355,52.17633170947711,90.86514076938943,,-0.23586490477404354
C=C(C)C1=C[CH]C(/C=C/C)=C1C,0.22473358,56.772896,0.8811721801757812,-0.3039420843124389,95.536217,0.26808128099481715,51.54781797421115,88.14375392447029,0.8753438473618811,-0.2610621353378111
C=CC/C(=C/C)C1=C(C)[CH]C=C1,0.317799,61.95185,1.013095736503601,-0.1970100402832031,96.06190000000001,0.3424939008097583,64.84836037039615,97.72366532990824,1.0105816831022656,-0.2088445484583481
